db.Total.Records,db.Year.of.Breach
"70,000",2006
"72,000",2006
"84,000",2006
"90,000",2006
"92,000",2006
"92,541",2006
"93,000",2006
"100,000",2006
"100,000",2006
"101,000",2006
"112,270",2006
"132,470",2006
"146,000",2006
"150,000",2006
"160,000",2006
"180,000",2006
"188,000",2006
"196,000",2006
"197,000",2006
"200,000",2006
"207,750",2006
"231,000",2006
"235,903",2006
"240,000",2006
"243,000",2006
"257,800",2006
"266,200",2006
"300,000",2006
"309,000",2006
"332,000",2006
"350,000",2006
"365,000",2006
"382,000",2006
"396,279",2006
"573,000",2006
"650,000",2006
"722,000",2006
"800,000",2006
"930,000",2006
"1,000,000",2006
"1,300,000",2006
"1,350,000",2006
"1,400,000",2006
"1,700,000",2006
"2,000,000",2006
"2,600,000",2006
"17,781,500",2006
"26,500,000",2006
10,2007
11,2007
12,2007
13,2007
13,2007
14,2007
16,2007
16,2007
18,2007
20,2007
25,2007
29,2007
30,2007
34,2007
34,2007
40,2007
40,2007
42,2007
45,2007
47,2007
48,2007
49,2007
50,2007
52,2007
53,2007
54,2007
56,2007
56,2007
58,2007
60,2007
60,2007
60,2007
61,2007
67,2007
69,2007
72,2007
79,2007
80,2007
83,2007
88,2007
90,2007
91,2007
100,2007
100,2007
100,2007
100,2007
111,2007
111,2007
122,2007
123,2007
132,2007
138,2007
139,2007
140,2007
145,2007
150,2007
150,2007
175,2007
184,2007
197,2007
199,2007
200,2007
204,2007
209,2007
216,2007
219,2007
220,2007
237,2007
246,2007
250,2007
256,2007
270,2007
276,2007
279,2007
287,2007
297,2007
300,2007
300,2007
300,2007
302,2007
340,2007
365,2007
380,2007
400,2007
400,2007
400,2007
400,2007
409,2007
415,2007
420,2007
434,2007
498,2007
500,2007
500,2007
500,2007
500,2007
500,2007
519,2007
526,2007
537,2007
546,2007
550,2007
550,2007
550,2007
570,2007
578,2007
600,2007
600,2007
633,2007
652,2007
679,2007
737,2007
747,2007
750,2007
750,2007
750,2007
800,2007
800,2007
950,2007
988,2007
"1,000",2007
"1,000",2007
"1,006",2007
"1,092",2007
"1,100",2007
"1,100",2007
"1,120",2007
"1,200",2007
"1,200",2007
"1,200",2007
"1,200",2007
"1,220",2007
"1,300",2007
"1,400",2007
"1,400",2007
"1,400",2007
"1,400",2007
"1,425",2007
"1,433",2007
"1,446",2007
"1,482",2007
"1,485",2007
"1,500",2007
"1,500",2007
"1,554",2007
"1,600",2007
"1,608",2007
"1,753",2007
"1,800",2007
"1,823",2007
"1,886",2007
"1,900",2007
"1,950",2007
"1,951",2007
"2,000",2007
"2,000",2007
"2,000",2007
"2,000",2007
"2,108",2007
"2,200",2007
"2,226",2007
"2,297",2007
"2,300",2007
"2,400",2007
"2,700",2007
"2,700",2007
"2,718",2007
"2,940",2007
"3,000",2007
"3,000",2007
"3,000",2007
"3,000",2007
"3,000",2007
"3,000",2007
"3,000",2007
"3,000",2007
"3,031",2007
"3,100",2007
"3,212",2007
"3,250",2007
"3,400",2007
"3,500",2007
"3,500",2007
"3,560",2007
"3,913",2007
"3,930",2007
"4,000",2007
"4,000",2007
"4,000",2007
"4,000",2007
"4,100",2007
"4,285",2007
"4,375",2007
"4,500",2007
"4,500",2007
"4,500",2007
"5,000",2007
"5,000",2007
"5,098",2007
"5,100",2007
"5,105",2007
"5,208",2007
"5,234",2007
"5,247",2007
"5,500",2007
"5,563",2007
"5,600",2007
"5,735",2007
"5,783",2007
"5,800",2007
"6,000",2007
"6,000",2007
"6,000",2007
"6,540",2007
"7,000",2007
"7,000",2007
"7,300",2007
"7,460",2007
"7,500",2007
"7,500",2007
"7,766",2007
"7,800",2007
"8,000",2007
"8,000",2007
"8,000",2007
"8,585",2007
"9,000",2007
"9,297",2007
"9,297",2007
"10,000",2007
"10,000",2007
"10,000",2007
"10,000",2007
"10,200",2007
"10,500",2007
"10,501",2007
"10,554",2007
"10,600",2007
"11,000",2007
"11,000",2007
"11,500",2007
"11,500",2007
"12,000",2007
"12,000",2007
"12,000",2007
"12,000",2007
"12,000",2007
"12,876",2007
"13,000",2007
"13,000",2007
"14,000",2007
"14,000",2007
"16,000",2007
"16,000",2007
"17,000",2007
"17,000",2007
"17,400",2007
"20,000",2007
"20,000",2007
"20,000",2007
"21,000",2007
"22,000",2007
"22,396",2007
"22,634",2007
"23,000",2007
"25,000",2007
"27,000",2007
"28,000",2007
"29,000",2007
"30,000",2007
"30,000",2007
"31,000",2007
"31,500",2007
"33,000",2007
"34,000",2007
"35,000",2007
"35,000",2007
"38,700",2007
"40,000",2007
"42,000",2007
"44,023",2007
"45,000",2007
"45,000",2007
"46,000",2007
"47,000",2007
"48,686",2007
"50,000",2007
"51,000",2007
"63,400",2007
"65,000",2007
"65,000",2007
"67,000",2007
"68,779",2007
"70,000",2007
"70,000",2007
"70,000",2007
"75,000",2007
"75,000",2007
"75,000",2007
"76,600",2007
"79,000",2007
"80,000",2007
"90,000",2007
"100,000",2007
"100,000",2007
"106,000",2007
"112,000",2007
"130,000",2007
"130,000",2007
"135,000",2007
"140,000",2007
"150,000",2007
"159,000",2007
"160,000",2007
"171,000",2007
"185,000",2007
"197,000",2007
"200,000",2007
"230,000",2007
"230,000",2007
"243,000",2007
"268,000",2007
"268,000",2007
"280,000",2007
"300,000",2007
"300,000",2007
"337,000",2007
"445,000",2007
"450,000",2007
"583,000",2007
"774,723",2007
"800,000",2007
"867,000",2007
"1,000,000",2007
"1,300,000",2007
"1,500,000",2007
"2,900,000",2007
"6,300,000",2007
"8,500,000",2007
"8,500,000",2007
"8,500,000",2007
"100,000,000",2007
13,2008
19,2008
20,2008
24,2008
26,2008
28,2008
30,2008
30,2008
31,2008
32,2008
38,2008
40,2008
45,2008
70,2008
70,2008
86,2008
91,2008
100,2008
103,2008
109,2008
119,2008
137,2008
140,2008
150,2008
155,2008
156,2008
163,2008
190,2008
192,2008
198,2008
200,2008
202,2008
205,2008
216,2008
245,2008
247,2008
250,2008
250,2008
259,2008
260,2008
273,2008
299,2008
300,2008
300,2008
300,2008
312,2008
336,2008
380,2008
383,2008
384,2008
400,2008
400,2008
400,2008
480,2008
486,2008
492,2008
500,2008
500,2008
500,2008
500,2008
530,2008
535,2008
555,2008
570,2008
600,2008
627,2008
650,2008
675,2008
677,2008
700,2008
750,2008
798,2008
800,2008
800,2008
800,2008
800,2008
803,2008
826,2008
850,2008
890,2008
900,2008
900,2008
900,2008
990,2008
"1,000",2008
"1,000",2008
"1,000",2008
"1,000",2008
"1,000",2008
"1,000",2008
"1,000",2008
"1,004",2008
"1,006",2008
"1,200",2008
"1,200",2008
"1,279",2008
"1,367",2008
"1,400",2008
"1,430",2008
"1,500",2008
"1,500",2008
"1,500",2008
"1,600",2008
"1,700",2008
"1,800",2008
"1,800",2008
"1,800",2008
"1,800",2008
"1,900",2008
"2,000",2008
"2,000",2008
"2,000",2008
"2,000",2008
"2,000",2008
"2,000",2008
"2,035",2008
"2,100",2008
"2,500",2008
"2,500",2008
"2,600",2008
"2,600",2008
"2,700",2008
"2,800",2008
"2,815",2008
"2,845",2008
"2,900",2008
"3,000",2008
"3,100",2008
"3,300",2008
"3,348",2008
"3,437",2008
"3,500",2008
"3,500",2008
"3,569",2008
"3,600",2008
"4,000",2008
"4,000",2008
"4,250",2008
"4,259",2008
"4,300",2008
"4,359",2008
"4,690",2008
"4,700",2008
"4,700",2008
"4,733",2008
"4,800",2008
"5,000",2008
"5,000",2008
"5,000",2008
"5,000",2008
"5,000",2008
"5,000",2008
"5,000",2008
"5,000",2008
"5,000",2008
"5,000",2008
"5,000",2008
"5,100",2008
"5,700",2008
"6,000",2008
"6,000",2008
"6,200",2008
"6,313",2008
"6,440",2008
"6,488",2008
"6,600",2008
"7,000",2008
"7,000",2008
"7,000",2008
"8,000",2008
"8,800",2008
"9,000",2008
"9,000",2008
"9,000",2008
"9,100",2008
"9,300",2008
"9,500",2008
"10,000",2008
"10,219",2008
"10,597",2008
"11,000",2008
"11,000",2008
